"feature_id","module_id","is_tf","is_hk","basal"
"Target15",NA,FALSE,FALSE,1e-04
"Target16",NA,FALSE,FALSE,1
"Target17",NA,FALSE,FALSE,1e-04
"Target18",NA,FALSE,FALSE,1e-04
"Target19",NA,FALSE,FALSE,1e-04
"Target20",NA,FALSE,FALSE,1
"Target21",NA,FALSE,FALSE,1
"Target22",NA,FALSE,FALSE,1e-04
"Target23",NA,FALSE,FALSE,1e-04
"Target24",NA,FALSE,FALSE,1
"Target25",NA,FALSE,FALSE,1e-04
"Target26",NA,FALSE,FALSE,1e-04
"Target27",NA,FALSE,FALSE,1
"Target28",NA,FALSE,FALSE,1e-04
"Target29",NA,FALSE,FALSE,1e-04
"Target30",NA,FALSE,FALSE,1e-04
"Target31",NA,FALSE,FALSE,1e-04
"Target32",NA,FALSE,FALSE,1e-04
"Target33",NA,FALSE,FALSE,1e-04
"Target34",NA,FALSE,FALSE,0.5
"Target35",NA,FALSE,FALSE,1e-04
"Target36",NA,FALSE,FALSE,1e-04
"Target37",NA,FALSE,FALSE,1
"Target38",NA,FALSE,FALSE,1
"Target39",NA,FALSE,FALSE,1e-04
"Target40",NA,FALSE,FALSE,1e-04
"Target41",NA,FALSE,FALSE,1e-04
"Target42",NA,FALSE,FALSE,1
"Target43",NA,FALSE,FALSE,1e-04
"Target44",NA,FALSE,FALSE,1e-04
"Target45",NA,FALSE,FALSE,1
"Target46",NA,FALSE,FALSE,1e-04
"Target47",NA,FALSE,FALSE,1e-04
"Target48",NA,FALSE,FALSE,1e-04
"Target49",NA,FALSE,FALSE,1e-04
"Target50",NA,FALSE,FALSE,1e-04
"Target51",NA,FALSE,FALSE,1e-04
"Target52",NA,FALSE,FALSE,1e-04
"Target53",NA,FALSE,FALSE,1e-04
"Target54",NA,FALSE,FALSE,1
"Target55",NA,FALSE,FALSE,1e-04
"Target56",NA,FALSE,FALSE,1e-04
"Target57",NA,FALSE,FALSE,1
"Target58",NA,FALSE,FALSE,1e-04
"Target59",NA,FALSE,FALSE,1e-04
"Target60",NA,FALSE,FALSE,1e-04
"Target61",NA,FALSE,FALSE,1
"Target62",NA,FALSE,FALSE,1e-04
"Target63",NA,FALSE,FALSE,1e-04
"Target64",NA,FALSE,FALSE,1e-04
"Target65",NA,FALSE,FALSE,1e-04
"Target66",NA,FALSE,FALSE,1
"Target67",NA,FALSE,FALSE,1e-04
"Target68",NA,FALSE,FALSE,1e-04
"Target69",NA,FALSE,FALSE,1e-04
"Target70",NA,FALSE,FALSE,1e-04
"HK1",NA,FALSE,TRUE,1
"HK2",NA,FALSE,TRUE,1
"HK3",NA,FALSE,TRUE,1e-04
"HK4",NA,FALSE,TRUE,1e-04
"HK5",NA,FALSE,TRUE,1e-04
"HK6",NA,FALSE,TRUE,1e-04
"HK7",NA,FALSE,TRUE,1
"HK8",NA,FALSE,TRUE,1e-04
"HK9",NA,FALSE,TRUE,1e-04
"HK10",NA,FALSE,TRUE,1e-04
"HK11",NA,FALSE,TRUE,1e-04
"HK12",NA,FALSE,TRUE,1e-04
"HK13",NA,FALSE,TRUE,1e-04
"HK14",NA,FALSE,TRUE,1e-04
"HK15",NA,FALSE,TRUE,1e-04
"HK16",NA,FALSE,TRUE,1e-04
"HK17",NA,FALSE,TRUE,1e-04
"HK18",NA,FALSE,TRUE,1
"HK19",NA,FALSE,TRUE,1e-04
"HK20",NA,FALSE,TRUE,1
